Date,Open,High,Low,Close,Adj Close,Volume
2022-03-24,182.350006,183.509995,181.770004,183.130005,183.130005,10970100
2022-03-25,181.809998,183.130005,181.350006,182.380005,182.380005,7911100
2022-03-28,180.380005,181.330002,178.850006,179.059998,179.059998,9489700
2022-03-29,177.020004,179.330002,176.690002,179.139999,179.139999,10458900
2022-03-30,179.759995,180.919998,179.679993,180.580002,180.580002,8361300
2022-03-31,180.910004,181.960007,180.559998,180.649994,180.649994,9844400
2022-04-01,179.550003,180.460007,178.979996,179.500000,179.500000,13034400
2022-04-04,180.240005,180.809998,179.580002,180.369995,180.369995,7063100
2022-04-05,180.910004,181.490005,178.929993,179.240005,179.240005,10828500
2022-04-06,179.779999,180.309998,178.699997,179.660004,179.660004,8942100
2022-04-07,179.869995,180.880005,179.800003,180.339996,180.339996,10140600
2022-04-08,180.520004,181.820007,180.520004,181.470001,181.470001,10655700
2022-04-11,183.169998,183.330002,181.110001,182.369995,182.369995,10071300
2022-04-12,184.039993,184.639999,182.960007,183.770004,183.770004,12024600
2022-04-13,184.500000,184.940002,184.130005,184.649994,184.649994,8651600
2022-04-14,184.279999,184.410004,182.880005,184.039993,184.039993,11567200
2022-04-18,185.949997,186.100006,184.389999,184.610001,184.610001,8886700
2022-04-19,183.190002,183.649994,181.330002,181.820007,181.820007,12585600
2022-04-20,181.589996,182.720001,181.350006,182.710007,182.710007,7038600
2022-04-21,181.770004,182.320007,180.779999,182.059998,182.059998,9639800
2022-04-22,180.720001,181.610001,179.740005,180.289993,180.289993,9147000
2022-04-25,177.169998,177.509995,176.479996,177.050003,177.050003,13073700
2022-04-26,177.949997,178.300003,176.919998,177.320007,177.320007,9042400
2022-04-27,176.460007,176.639999,175.500000,175.979996,175.979996,8854700
2022-04-28,175.919998,176.970001,175.690002,176.929993,176.929993,6381100
2022-04-29,178.070007,178.619995,176.710007,176.910004,176.910004,7719700
2022-05-02,173.610001,174.649994,172.979996,173.630005,173.630005,14318600
2022-05-03,173.889999,175.210007,173.850006,174.089996,174.089996,7214300
2022-05-04,174.320007,176.350006,173.669998,175.800003,175.800003,10491700
2022-05-05,177.559998,177.610001,174.660004,175.130005,175.130005,12794200
2022-05-06,175.389999,176.559998,174.860001,175.419998,175.419998,7643300
2022-05-09,174.270004,174.270004,172.789993,172.880005,172.880005,10742400
2022-05-10,173.800003,173.960007,171.199997,171.419998,171.419998,11010400
2022-05-11,172.509995,173.320007,172.199997,172.820007,172.820007,9179600
2022-05-12,172.070007,172.399994,169.899994,170.169998,170.169998,11626800
2022-05-13,168.309998,169.619995,168.009995,168.789993,168.789993,13031100
2022-05-16,168.429993,170.429993,168.339996,170.399994,170.399994,7319300
2022-05-17,170.440002,170.529999,169.139999,169.330002,169.330002,6441100
2022-05-18,169.009995,170.210007,168.809998,169.419998,169.419998,7472900
2022-05-19,171.550003,172.520004,170.889999,171.910004,171.910004,10580300
2022-05-20,171.710007,172.240005,170.889999,172.029999,172.029999,6578100
2022-05-23,173.130005,173.380005,172.279999,172.830002,172.830002,5518500
2022-05-24,173.470001,174.410004,173.350006,174.130005,174.130005,6794000
2022-05-25,172.789993,173.160004,171.729996,173.080002,173.080002,4595900
2022-05-26,172.130005,172.929993,171.759995,172.759995,172.759995,6467000
2022-05-27,173.490005,173.520004,172.639999,172.850006,172.850006,3847900
2022-05-31,172.710007,173.070007,171.080002,171.139999,171.139999,6244000
2022-06-01,172.210007,172.529999,171.389999,172.229996,172.229996,6946500
2022-06-02,173.660004,174.449997,173.490005,174.350006,174.350006,5623100
2022-06-03,173.529999,173.970001,172.250000,172.580002,172.580002,5519400
2022-06-06,172.809998,172.889999,171.649994,171.820007,171.820007,3766000
2022-06-07,172.110001,173.050003,171.990005,172.940002,172.940002,3860000
2022-06-08,172.889999,173.449997,172.669998,172.779999,172.779999,5140800
2022-06-09,172.449997,172.589996,171.580002,172.229996,172.229996,4701100
2022-06-10,170.889999,174.940002,170.460007,174.539993,174.539993,16856100
2022-06-13,171.179993,171.339996,169.610001,169.929993,169.929993,13265200
2022-06-14,169.610001,169.729996,168.300003,168.570007,168.570007,7347900
2022-06-15,170.399994,171.839996,169.080002,170.770004,170.770004,9000300
2022-06-16,170.559998,172.770004,170.169998,172.690002,172.690002,8823600
2022-06-17,172.149994,172.300003,170.970001,171.270004,171.270004,7407200
2022-06-21,171.059998,171.910004,170.470001,170.630005,170.630005,5608500
2022-06-22,171.610001,172.300003,171.100006,171.309998,171.309998,6558700
2022-06-23,171.389999,172.130005,169.899994,170.259995,170.259995,6535300
2022-06-24,170.240005,170.740005,169.850006,170.089996,170.089996,6143100
2022-06-27,170.600006,170.669998,169.750000,169.899994,169.899994,5719700
2022-06-28,170.070007,170.210007,169.509995,169.619995,169.619995,2982700
2022-06-29,170.580002,170.699997,169.169998,169.490005,169.490005,4785600
2022-06-30,169.509995,169.960007,168.240005,168.460007,168.460007,9144400
2022-07-01,167.139999,168.679993,166.960007,168.320007,168.320007,11380300
2022-07-05,167.179993,167.330002,164.410004,164.750000,164.750000,14035400
2022-07-06,164.320007,164.570007,161.470001,162.139999,162.139999,11861100
2022-07-07,162.429993,163.039993,162.059998,162.229996,162.229996,4588400
2022-07-08,162.350006,163.380005,161.839996,162.300003,162.300003,4584100
2022-07-11,161.929993,162.440002,161.380005,161.429993,161.429993,4321700
2022-07-12,161.220001,161.619995,160.720001,160.830002,160.830002,5375100
2022-07-13,160.100006,162.710007,160.059998,161.600006,161.600006,8456600
2022-07-14,159.020004,159.830002,158.220001,159.330002,159.330002,12213600
2022-07-15,159.009995,159.250000,158.350006,159.009995,159.009995,6783800
2022-07-18,160.080002,160.429993,159.050003,159.160004,159.160004,5791800
